"sample_id","device_timestamp_ns","x_mG","y_mG","z_mG"
"1616","599616096241612160","-7190","476","-2196"
"1617","599616096246490752","-4061","-779","-507"
"1618","599616096251369472","-2763","-825","398"
"1619","599616096256248064","-2939","-241","543"
"1620","599616096261126824","-3844","103","608"
"1621","599616096266004608","-4551","373","572"
"1622","599616096270882432","-4197","463","769"
"1623","599616096275760256","-3639","495","764"
"1624","599616096280637952","-3510","572","488"
"1625","599616096285515776","-3512","644","163"
"1626","599616096290393600","-3366","685","73"
"1627","599616096295271424","-3081","619","184"
"1628","599616096300149120","-2794","490","373"
"1629","599616096305026944","-2539","390","555"
"1630","599616096309904768","-2300","293","723"
"1631","599616096314782592","-2040","226","760"
"1632","599616096319660288","-1826","202","688"
"1633","599616096324538112","-1657","160","485"
"1634","599616096329415936","-1523","90","291"
"1635","599616096334293760","-1419","41","101"
"1636","599616096339171456","-1290","-1","-34"
"1637","599616096344049280","-1160","-16","-113"
"1638","599616096348927104","-1002","-22","-117"
"1639","599616096353804928","-820","-19","-121"
"1640","599616096358682624","-653","-3","-145"
"1641","599616096363560448","-494","30","-138"
"1642","599616096368438272","-361","77","-121"
"1643","599616096373316096","-229","87","-107"
"1644","599616096378193792","-197","96","-65"
"1645","599616096383071616","-56","91","-74"
"1646","599616096387949440","81","77","-27"
"1647","599616096392827264","200","75","-24"
"1648","599616096397705088","326","62","-30"
"1649","599616096402582784","422","56","-53"
"1650","599616096407460608","493","29","-70"
"1651","599616096412338432","583","27","-100"
"1652","599616096417216256","668","12","-120"
"1653","599616096422093952","725","10","-131"
"1654","599616096426971776","770","-1","-132"
"1655","599616096431849600","807","-4","-129"
"1656","599616096436727386","830","-11","-124"
"1657","599616096441605248","799","-18","-114"
"1658","599616096446483072","749","-25","-96"
"1659","599616096451360896","658","-35","-79"
"1660","599616096456238592","551","-56","-63"
"1661","599616096461116416","474","-75","-41"
"1662","599616096465994240","386","-92","-23"
"1663","599616096470872064","284","-111","2"
"1664","599616096475749760","210","-127","52"
"1665","599616096480627584","108","-136","94"
"1666","599616096485505408","21","-139","117"
"1667","599616096490383232","-38","-141","138"
"1668","599616096495260928","-115","-136","152"
"1669","599616096500138752","-203","-114","145"
"1670","599616096505016576","-256","-86","116"
"1671","599616096509894400","-329","-54","89"
"1672","599616096514772096","-384","-31","40"
"1673","599616096519649920","-434","-8","-2"
"1674","599616096524527744","-465","42","-29"
"1675","599616096529405568","-487","84","-63"
"1676","599616096534283264","-490","135","-108"
"1677","599616096539161088","-486","185","-131"
"1678","599616096544038912","-456","212","-138"
"1679","599616096548916736","-402","228","-147"
"1680","599616096553794560","-328","251","-140"
"1681","599616096558672256","-243","260","-125"
"1682","599616096563550080","-157","255","-93"
"1683","599616096568427904","-65","246","-67"
"1684","599616096573305728","-3","233","-55"
"1685","599616096578183424","28","222","-63"
"1686","599616096583061248","58","212","-103"
"1687","599616096587939072","73","194","-142"
"1688","599616096592816896","60","141","-189"
"1689","599616096597694592","30","91","-193"
"1690","599616096602572416","1","64","-130"
"1691","599616096607450240","-33","55","-15"
"1692","599616096612327958","-120","79","119"
"1693","599616096617204096","-248","104","233"
"1694","599616096622080256","-451","168","325"
"1695","599616096626956288","-729","207","410"
"1696","599616096631832448","-1168","286","490"
"1697","599616096636708480","-1906","554","668"
"1698","599616096641584640","-3416","1226","925"
"1699","599616096646460672","-7105","2279","1542"
"1700","599616096651336832","-7949","1346","-1740"
"1701","599616096656212864","-5453","529","-1695"
"1702","599616096661089024","-2510","121","-10"
"1703","599616096665965056","-1885","-113","453"
"1704","599616096670841216","-2733","-277","480"
"1705","599616096675717248","-3948","-292","-15"
"1706","599616096680593408","-5046","53","-388"
"1707","599616096685469440","-4744","354","-203"
"1708","599616096690345600","-3894","438","163"
"1709","599616096695221632","-3535","451","333"
"1710","599616096700097792","-3559","469","223"
"1711","599616096704973824","-3529","510","111"
"1712","599616096709849984","-3299","480","158"
"1713","599616096714726016","-2969","399","249"
"1714","599616096719602176","-2637","270","331"
"1715","599616096724478208","-2362","185","389"
"1716","599616096729354368","-2124","94","401"
"1717","599616096734230528","-1951","55","366"
"1718","599616096739106560","-1797","30","270"
"1719","599616096743982720","-1668","23","157"
"1720","599616096748858752","-1542","33","31"
"1721","599616096753734912","-1432","58","-46"
"1722","599616096758610944","-1283","78","-102"
"1723","599616096763487104","-1114","81","-108"
"1724","599616096768363136","-929","85","-125"
"1725","599616096773239296","-756","90","-131"
"1726","599616096778115328","-591","97","-97"
"1727","599616096782991488","-438","109","-54"
"1728","599616096787867510","-279","98","-6"
"1729","599616096792743680","-160","94","45"
"1730","599616096797619840","-33","90","93"
"1731","599616096802495872","46","88","98"
"1732","599616096807372032","135","98","42"
"1733","599616096812248064","237","93","12"
"1734","599616096817124224","325","98","-24"
"1735","599616096822000256","436","92","-56"
"1736","599616096826876416","511","87","-87"
"1737","599616096831752448","592","78","-108"
"1738","599616096836628608","667","57","-121"
"1739","599616096841504640","733","31","-124"
"1740","599616096846380800","754","3","-126"
"1741","599616096851256832","757","-17","-125"
"1742","599616096856132992","756","-32","-119"
"1743","599616096861009024","732","-45","-114"
"1744","599616096865885184","667","-72","-98"
"1745","599616096870761216","592","-83","-83"
"1746","599616096875637376","504","-74","-61"
"1747","599616096880513408","431","-57","-53"
"1748","599616096885389568","342","-44","-36"
"1749","599616096890265600","256","-42","-20"
"1750","599616096895141760","203","-38","-5"
"1751","599616096900017792","125","-37","16"
"1752","599616096904893952","71","-36","19"
"1753","599616096909769984","17","-33","17"
"1754","599616096914646144","-11","-34","3"
"1755","599616096919522176","-57","-31","-5"
"1756","599616096924398336","-116","-25","-12"
"1757","599616096929274368","-179","-18","-18"
"1758","599616096934150528","-239","0","-24"
"1759","599616096939026688","-283","18","-29"
"1760","599616096943902720","-350","52","-36"
"1761","599616096948778880","-387","80","-38"
"1762","599616096953654912","-420","92","-44"
"1763","599616096958531072","-443","121","-56"
"1764","599616096963407046","-431","148","-62"
"1765","599616096968283264","-400","163","-59"
"1766","599616096973159424","-378","177","-47"
"1767","599616096978035456","-313","182","-29"
"1768","599616096982911616","-250","181","-20"
"1769","599616096987787648","-203","169","-7"
"1770","599616096992663808","-126","156","2"
"1771","599616096997539840","-83","120","-2"
"1772","599616097002416000","-45","84","-15"
"1773","599616097007292032","-49","34","-54"
"1774","599616097012168192","-82","-7","-93"
"1775","599616097017044224","-116","-21","-52"
"1776","599616097021920384","-148","-20","55"
"1777","599616097026796416","-229","4","252"
