"sample_id","device_timestamp_ns","voltage_uV"
"1351","599616097930485888","243"
"1352","599616097938179456","149"
"1353","599616097945872896","28"
"1354","599616097953566464","-38"
"1355","599616097961260032","-94"
"1356","599616097968953472","-120"
"1357","599616097976647040","-91"
"1358","599616097984340608","-103"
"1359","599616097992034176","-152"
"1360","599616097999727616","-142"
"1361","599616098007421184","-130"
"1362","599616098015114752","-164"
"1363","599616098022808320","-185"
"1364","599616098030501760","-185"
"1365","599616098038195328","-195"
"1366","599616098045888896","-207"
"1367","599616098053582336","-202"
"1368","599616098061275904","-164"
"1369","599616098068969472","-144"
"1370","599616098076663040","-173"
"1371","599616098084356480","-178"
"1372","599616098092050048","-156"
"1373","599616098099743616","-171"
"1374","599616098107437056","-193"
"1375","599616098115130624","-190"
"1376","599616098122824192","-190"
"1377","599616098130517760","-195"
"1378","599616098138211200","-193"
"1379","599616098145904768","-200"
"1380","599616098153598336","-258"
"1381","599616098161291776","-304"
"1382","599616098168985344","-221"
"1383","599616098176678912","0"
"1384","599616098184372480","282"
"1385","599616098192065920","443"
"1386","599616098199759488","236"
"1387","599616098207452978","-171"
"1388","599616098215146496","-313"
"1389","599616098222840064","-200"
"1390","599616098230533504","-156"
"1391","599616098238227072","-224"
"1392","599616098245920640","-238"
"1393","599616098253614208","-219"
"1394","599616098261307648","-209"
"1395","599616098269001216","-118"
"1396","599616098276694784","-24"
"1397","599616098284388224","-33"
"1398","599616098292081792","-21"
"1399","599616098299775360","38"
"1400","599616098307468928","65"
"1401","599616098315162368","84"
"1402","599616098322855936","72"
"1403","599616098330549504","24"
"1404","599616098338243072","26"
"1405","599616098345936512","19"
"1406","599616098353630080","-31"
"1407","599616098361323648","-9"
"1408","599616098369017088","36"
"1409","599616098376710656","7"
"1410","599616098384404224","-43"
"1411","599616098392097792","-36"
"1412","599616098399791232","7"
"1413","599616098407484800","7"
"1414","599616098415178368","-28"
"1415","599616098422871808","-45"
"1416","599616098430565376","-48"
"1417","599616098438258944","-82"
"1418","599616098445952512","-154"
"1419","599616098453645952","-217"
"1420","599616098461339520","-243"
"1421","599616098469033088","-265"
"1422","599616098476726528","-294"
"1423","599616098484420096","-304"
"1424","599616098492113664","-284"
"1425","599616098499807232","-265"
"1426","599616098507500672","-279"
"1427","599616098515194240","-313"
"1428","599616098522887808","-313"
"1429","599616098530581248","-265"
"1430","599616098538274816","-246"
"1431","599616098545968384","-284"
"1432","599616098553661952","-294"
"1433","599616098561355392","-258"
"1434","599616098569048960","-231"
"1435","599616098576742528","-219"
"1436","599616098584436096","-219"
"1437","599616098592129536","-180"
"1438","599616098599823104","-108"
"1439","599616098607516672","-159"
"1440","599616098615210112","-238"
"1441","599616098622903680","-200"
"1442","599616098630597248","-176"
"1443","599616098638290816","-195"
"1444","599616098645984256","-183"
"1445","599616098653677824","-147"
"1446","599616098661371392","-106"
"1447","599616098669064832","-106"
"1448","599616098676758400","-166"
"1449","599616098684451968","-195"
"1450","599616098692145536","-125"
"1451","599616098699838976","96"
"1452","599616098707532544","516"
"1453","599616098715226112","786"
"1454","599616098722919552","516"
"1455","599616098730613120","84"
"1456","599616098738306688","-33"
"1457","599616098746000256","-62"
"1458","599616098753693696","-115"
"1459","599616098761387264","-89"
"1460","599616098769080818","-101"
"1461","599616098776774528","-168"
"1462","599616098784468224","-154"
"1463","599616098792161920","-115"
"1464","599616098799855488","-161"
"1465","599616098807549184","-205"
"1466","599616098815242880","-178"
"1467","599616098822936576","-130"
"1468","599616098830630272","-120"
"1469","599616098838323840","-139"
"1470","599616098846017536","-137"
"1471","599616098853711232","-130"
"1472","599616098861404928","-139"
"1473","599616098869098624","-127"
"1474","599616098876792320","-110"
"1475","599616098884485888","-115"
"1476","599616098892179584","-103"
"1477","599616098899873280","-82"
"1478","599616098907566976","-82"
"1479","599616098915260672","-74"
"1480","599616098922954240","-67"
"1481","599616098930647936","-86"
"1482","599616098938341632","-86"
"1483","599616098946035328","-67"
"1484","599616098953729024","-84"
"1485","599616098961422592","-120"
"1486","599616098969116288","-149"
"1487","599616098976809984","-183"
"1488","599616098984503680","-231"
"1489","599616098992197376","-253"
"1490","599616098999890944","-250"
"1491","599616099007584640","-265"
"1492","599616099015278336","-279"
"1493","599616099022972032","-250"
"1494","599616099030665728","-219"
"1495","599616099038359296","-214"
"1496","599616099046052992","-221"
"1497","599616099053746688","-231"
"1498","599616099061440384","-226"
"1499","599616099069134080","-173"
"1500","599616099076827776","-113"
"1501","599616099084521344","-106"
"1502","599616099092215040","-96"
"1503","599616099099908736","-41"
"1504","599616099107602432","-19"
"1505","599616099115296128","-9"
"1506","599616099122989696","130"
"1507","599616099130683392","282"
"1508","599616099138377088","284"
"1509","599616099146070784","234"
"1510","599616099153764480","193"
"1511","599616099161458048","101"
"1512","599616099169151744","-14"
"1513","599616099176845440","-55"
"1514","599616099184539136","-48"
"1515","599616099192232832","-101"
"1516","599616099199926400","-195"
"1517","599616099207620096","-193"
"1518","599616099215313792","-60"
"1519","599616099223007488","178"
"1520","599616099230701184","417"
"1521","599616099238394752","390"
"1522","599616099246088448","33"
"1523","599616099253782144","-270"
"1524","599616099261475840","-316"
"1525","599616099269169536","-275"
"1526","599616099276863232","-258"
"1527","599616099284556800","-255"
"1528","599616099292250496","-248"
"1529","599616099299944192","-243"
"1530","599616099307637888","-250"
"1531","599616099315331584","-255"
"1532","599616099323025152","-224"
"1533","599616099330718832","-200"
"1534","599616099338412288","-207"
"1535","599616099346105728","-200"
"1536","599616099353799168","-183"
"1537","599616099361492736","-168"
"1538","599616099369186176","-135"
"1539","599616099376879616","-123"
"1540","599616099384573056","-135"
"1541","599616099392266496","-103"
"1542","599616099399959936","-72"
"1543","599616099407653504","-91"
"1544","599616099415346944","-84"
"1545","599616099423040384","-26"
"1546","599616099430733824","-21"
"1547","599616099438427264","-72"
"1548","599616099446120704","-86"
"1549","599616099453814272","-60"
"1550","599616099461507712","-43"
"1551","599616099469201152","-65"
"1552","599616099476894592","-106"
"1553","599616099484588032","-149"
"1554","599616099492281472","-144"
"1555","599616099499975040","-125"
"1556","599616099507668480","-156"
"1557","599616099515361920","-144"
"1558","599616099523055360","-82"
"1559","599616099530748800","-77"
"1560","599616099538442368","-65"
"1561","599616099546135808","-9"
"1562","599616099553829248","-67"
"1563","599616099561522688","-125"
"1564","599616099569216128","0"
"1565","599616099576909568","45"
"1566","599616099584603136","-94"
"1567","599616099592296576","-149"
"1568","599616099599990016","-101"
"1569","599616099607683456","-115"
"1570","599616099615376896","-168"
"1571","599616099623070336","-171"
"1572","599616099630763904","-89"
"1573","599616099638457344","-2"
"1574","599616099646150784","-86"
"1575","599616099653844224","-209"
"1576","599616099661537664","-147"
"1577","599616099669231232","-98"
"1578","599616099676924672","-214"
"1579","599616099684618112","-270"
"1580","599616099692311552","-226"
"1581","599616099700004992","-238"
"1582","599616099707698432","-282"
"1583","599616099715392000","-320"
"1584","599616099723085440","-354"
"1585","599616099730778880","-270"
"1586","599616099738472320","2"
"1587","599616099746165760","357"
"1588","599616099753859200","477"
"1589","599616099761552768","106"
"1590","599616099769246208","-328"
"1591","599616099776939648","-364"
"1592","599616099784633088","-275"
"1593","599616099792326528","-253"
"1594","599616099800019968","-224"
"1595","599616099807713536","-217"
"1596","599616099815406976","-221"
"1597","599616099823100416","-200"
"1598","599616099830793856","-166"
"1599","599616099838487296","-156"
"1600","599616099846180864","-164"
"1601","599616099853874304","-159"
"1602","599616099861567744","-142"
"1603","599616099869261184","-137"
"1604","599616099876954624","-115"
"1605","599616099884648064","-79"
"1606","599616099892341586","-84"
"1607","599616099900035072","-110"
"1608","599616099907728512","-108"
"1609","599616099915421952","-123"
"1610","599616099923115520","-84"
"1611","599616099930808960","38"
"1612","599616099938502400","48"
"1613","599616099946195840","21"
"1614","599616099953889280","101"
"1615","599616099961582720","79"
"1616","599616099969276288","43"
"1617","599616099976969728","267"
"1618","599616099984663168","513"
"1619","599616099992356608","526"
"1620","599616100000050048","427"
"1621","599616100007743488","369"
"1622","599616100015437056","279"
"1623","599616100023130496","86"
"1624","599616100030823936","16"
"1625","599616100038517376","139"
"1626","599616100046210816","110"
"1627","599616100053904256","-84"
"1628","599616100061597824","-103"
"1629","599616100069291264","4"
"1630","599616100076984704","-69"
"1631","599616100084678144","-195"
"1632","599616100092371584","-108"
"1633","599616100100065152","-53"
"1634","599616100107758592","-190"
"1635","599616100115452032","-255"
"1636","599616100123145472","-161"
"1637","599616100130838912","-110"
"1638","599616100138532352","-144"
"1639","599616100146225920","-139"
"1640","599616100153919360","-101"
"1641","599616100161612800","-115"
"1642","599616100169306240","-178"
"1643","599616100176999680","-207"
"1644","599616100184693120","-190"
"1645","599616100192386688","-176"
"1646","599616100200080128","-161"
"1647","599616100207773568","-147"
"1648","599616100215467008","-149"
"1649","599616100223160448","-171"
"1650","599616100230854016","-195"
"1651","599616100238547456","-197"
"1652","599616100246240896","-125"
"1653","599616100253934336","86"
"1654","599616100261627776","386"
"1655","599616100269321216","448"
"1656","599616100277014784","82"
"1657","599616100284708224","-267"
"1658","599616100292401664","-282"
"1659","599616100300095104","-250"
"1660","599616100307788544","-277"
"1661","599616100315481984","-229"
"1662","599616100323175552","-178"
"1663","599616100330868992","-214"
"1664","599616100338562432","-238"
"1665","599616100346255872","-193"
"1666","599616100353949312","-149"
"1667","599616100361642752","-135"
"1668","599616100369336320","-135"
"1669","599616100377029760","-118"
"1670","599616100384723200","-77"
"1671","599616100392416640","-33"
"1672","599616100400110080","65"
"1673","599616100407803648","200"
"1674","599616100415497088","323"
"1675","599616100423190528","451"
"1676","599616100430883968","448"
"1677","599616100438577408","383"
"1678","599616100446270848","441"
"1679","599616100453964340","400"
"1680","599616100461657856","277"
"1681","599616100469351424","306"
"1682","599616100477044864","335"
"1683","599616100484738432","236"
"1684","599616100492432000","74"
"1685","599616100500125568","19"
"1686","599616100507819008","125"
"1687","599616100515512576","82"
"1688","599616100523206144","-82"
"1689","599616100530899584","-108"
"1690","599616100538593152","-108"
"1691","599616100546286720","-154"
"1692","599616100553980288","-168"
"1693","599616100561673728","-173"
"1694","599616100569367296","-197"
"1695","599616100577060864","-200"
"1696","599616100584754432","-188"
"1697","599616100592447872","-193"
"1698","599616100600141440","-195"
"1699","599616100607835008","-185"
"1700","599616100615528448","-185"
"1701","599616100623222016","-190"
"1702","599616100630915584","-178"
"1703","599616100638609152","-149"
"1704","599616100646302592","-110"
"1705","599616100653996160","-84"
"1706","599616100661689728","-98"
"1707","599616100669383168","-123"
"1708","599616100677076736","-98"
"1709","599616100684770304","-82"
"1710","599616100692463872","-144"
"1711","599616100700157312","-188"
"1712","599616100707850880","-176"
"1713","599616100715544448","-183"
"1714","599616100723237888","-205"
"1715","599616100730931456","-197"
"1716","599616100738625024","-226"
"1717","599616100746318592","-287"
"1718","599616100754012032","-183"
"1719","599616100761705600","98"
"1720","599616100769399168","388"
"1721","599616100777092608","516"
"1722","599616100784786176","241"
"1723","599616100792479744","-214"
"1724","599616100800173312","-296"
"1725","599616100807866752","-142"
"1726","599616100815560320","-135"
"1727","599616100823253888","-137"
"1728","599616100830947456","-53"
"1729","599616100838640896","19"
"1730","599616100846334464","159"
"1731","599616100854028032","337"
"1732","599616100861721472","349"
"1733","599616100869415040","265"
"1734","599616100877108608","316"
"1735","599616100884802176","393"
"1736","599616100892495616","311"
"1737","599616100900189184","197"
"1738","599616100907882752","154"
"1739","599616100915576192","156"
"1740","599616100923269760","147"
"1741","599616100930963328","77"
"1742","599616100938656896","106"
"1743","599616100946350336","219"
"1744","599616100954043904","195"
"1745","599616100961737472","130"
"1746","599616100969430912","156"
"1747","599616100977124480","139"
"1748","599616100984818048","91"
"1749","599616100992511616","156"
"1750","599616101000205056","229"
"1751","599616101007898624","180"
"1752","599616101015592180","132"
"1753","599616101023285760","127"
"1754","599616101030979328","55"
"1755","599616101038672768","-43"
"1756","599616101046366336","-86"
"1757","599616101054059904","-137"
